Loyalty Number,Churn,f.score,r.score
995877,0,3,8
446968,1,0,0
123928,0,0,0
237105,0,4,8
395026,0,9,8
702493,1,3,4
894466,0,5,8
610393,0,5,8
800726,0,6,8
111171,0,7,8
133324,0,8,8
842064,1,0,0
149542,1,0,0
779434,0,6,8
203184,0,5,8
225077,0,6,8
365816,0,6,8
781463,0,5,8
644786,0,5,8
441440,0,4,8
756791,0,6,8
676676,1,0,0
401858,1,2,5
819569,0,6,8
428826,0,3,8
132563,0,0,0
518533,0,2,8
568547,0,6,8
761007,0,0,0
830931,0,6,8
229204,0,2,8
437269,1,3,5
202761,1,0,0
723390,1,1,1
956005,0,7,8
683361,0,4,8
370486,0,4,8
279919,0,6,8
635249,0,5,8
849415,0,6,7
334003,0,5,8
256323,0,5,8
553567,1,2,4
612555,0,6,8
411242,0,0,0
353128,0,6,8
367961,0,7,8
431899,0,6,8
835491,0,5,8
791355,0,6,8
331258,0,5,8
713329,0,7,8
422805,0,5,8
660376,0,5,8
841677,0,4,8
871329,1,0,0
626326,0,0,0
412854,0,6,8
686728,0,4,8
333621,0,5,8
270570,0,5,8
305171,0,5,8
715668,1,1,4
197529,0,0,0
496325,0,7,8
873180,1,2,7
630320,0,7,8
304944,0,7,8
615662,0,6,8
887192,0,2,8
540497,0,4,8
673061,1,2,2
534794,0,0,0
336341,0,5,8
465530,0,5,8
600598,0,6,8
724720,0,6,8
627489,0,6,8
264064,1,3,5
740762,0,8,8
527622,0,6,8
984636,0,5,8
110691,0,5,8
737791,0,5,8
219413,0,6,8
260685,0,6,8
501363,0,6,8
982202,0,3,8
218529,0,4,8
343051,0,3,8
881157,0,6,8
426185,0,6,8
546758,0,6,8
270723,0,6,8
794248,0,3,8
504715,0,6,8
380183,0,6,8
654817,0,6,8
541078,0,4,8
555112,1,2,3
726732,1,4,4
948327,0,1,8
384269,0,7,8
791852,0,5,8
372183,0,5,8
481857,0,8,8
411523,0,9,8
765252,0,5,8
539358,0,6,8
697837,0,6,8
464471,1,0,0
410921,0,6,8
826304,0,5,8
200077,0,4,8
597897,0,1,8
119408,0,1,8
241167,0,6,8
159275,0,7,8
615439,0,8,8
458697,0,7,8
620465,0,7,8
654578,0,6,8
432451,0,6,8
251116,1,1,1
381786,0,1,8
440967,0,4,8
368292,1,1,1
493677,0,8,8
815207,0,6,8
850418,0,6,8
574560,1,0,0
406574,0,6,8
532925,1,4,3
119837,0,5,8
546039,0,5,8
950914,0,6,8
387129,0,8,8
876006,0,8,8
230311,0,6,8
955991,0,4,8
279409,0,6,8
293531,0,5,8
886127,0,5,8
536021,0,1,8
687108,1,0,0
579005,0,7,8
758372,0,5,8
671764,1,3,8
142290,0,5,8
605505,0,6,8
745336,1,0,0
413185,0,6,8
715462,0,5,8
739933,0,5,8
675106,0,7,8
767728,0,2,8
244032,0,5,8
872408,0,0,0
583648,0,4,8
250380,0,4,8
935504,0,5,8
311943,0,5,8
811684,0,4,8
672103,0,6,7
657339,0,6,8
433812,0,5,8
217284,1,0,0
559304,0,4,8
290249,0,10,8
948815,0,6,8
513229,0,5,8
501278,0,6,8
348299,1,0,0
500455,0,5,7
277356,1,2,4
615394,0,6,8
936723,1,4,4
158314,0,3,7
418090,0,5,8
769623,0,5,8
685314,0,5,8
413282,0,6,8
884088,0,5,8
445867,0,6,8
568286,0,5,8
965066,1,3,7
105145,0,0,0
516329,0,6,8
945479,0,6,8
363925,0,4,8
798216,0,6,8
822694,0,7,8
747483,0,1,8
784838,0,8,8
405597,0,5,8
502592,0,5,8
999143,1,0,0
134717,0,5,8
416620,0,1,8
198424,0,5,8
455892,0,7,8
814653,0,4,8
636505,0,5,8
923268,1,1,8
685346,0,6,8
967634,0,1,8
919506,0,1,8
272944,0,6,8
512906,0,4,8
490984,0,6,8
812042,0,6,8
366719,0,4,8
192177,0,7,8
273353,0,3,8
249555,0,6,8
103862,0,6,8
121935,0,4,8
224402,0,5,8
988839,0,0,0
416768,0,6,8
667767,0,6,8
955178,0,5,8
534716,0,7,8
565041,0,6,8
596004,0,5,8
340934,0,0,0
335839,0,6,8
621940,0,3,8
308379,0,6,8
683791,0,6,8
715015,0,5,8
835796,0,7,8
564201,0,6,8
572410,0,7,8
306288,1,4,5
568111,0,5,8
201220,0,7,8
533766,0,4,8
990933,0,6,8
968764,0,2,8
613265,0,7,8
163608,0,6,8
237984,0,6,8
288419,0,5,8
285738,1,2,2
666556,0,6,8
698180,0,2,8
807589,0,8,8
135382,0,7,8
444778,0,6,8
502534,0,5,8
589840,0,4,8
551300,0,8,8
990204,0,6,8
148299,0,5,8
412902,0,7,8
602694,0,2,8
662934,0,3,8
205445,0,5,8
883349,1,0,0
773293,0,5,8
957127,0,4,8
176611,0,4,8
848248,0,7,8
162013,0,5,8
706628,0,2,8
495027,0,4,8
731001,0,3,8
106001,0,8,8
692096,0,6,8
544569,0,5,8
616220,0,5,8
890361,0,2,8
778426,0,4,8
211083,0,6,8
693256,0,5,8
343377,0,6,8
608739,0,7,8
421497,0,6,8
268094,0,3,8
982608,1,2,2
703882,0,0,0
821404,0,3,7
544561,0,5,8
528074,0,0,0
709550,0,6,8
601448,0,7,8
264234,0,5,8
989048,0,7,8
788460,1,4,5
765973,1,0,0
831087,0,6,8
750776,1,2,5
401336,0,6,8
936612,1,3,3
785836,0,7,8
161437,0,6,8
654187,0,6,8
801821,0,4,8
655044,0,4,8
223946,0,6,8
531286,0,5,8
655614,1,0,0
101876,1,2,6
908729,0,5,8
622269,1,0,0
929701,0,7,8
622171,0,1,7
708020,0,7,8
919922,1,3,6
479872,0,6,8
277091,0,4,8
386363,0,6,8
307233,1,7,8
199342,0,6,8
810257,0,6,8
252341,0,6,8
485397,0,6,8
328180,0,3,8
687748,0,3,8
368830,1,0,0
249224,0,7,8
444684,0,6,8
181726,0,6,8
275413,0,7,8
530978,0,6,8
372261,0,6,8
738427,0,7,8
295929,0,5,8
381717,0,2,8
437022,0,6,8
582861,0,4,8
945014,0,4,8
809728,1,2,7
460207,0,6,8
567256,0,6,8
649089,0,3,8
290599,0,5,8
878909,0,6,8
941194,0,1,8
600820,0,0,0
430228,0,7,8
646168,0,5,8
866302,0,5,8
983524,0,7,8
189146,1,3,4
290517,0,0,0
513000,0,1,8
917352,1,3,7
277910,0,6,8
345014,0,6,8
911744,0,2,8
484194,0,5,8
618309,0,5,8
160686,0,7,8
355995,0,5,8
519203,0,6,8
306402,0,5,8
428590,0,0,0
446315,0,4,6
576716,0,6,8
111646,1,4,5
685982,0,6,8
166037,0,6,8
236593,0,6,8
784113,0,6,8
896790,0,7,8
990595,0,5,8
773261,0,5,8
756907,0,6,8
455287,0,1,8
633999,0,4,8
285484,0,4,8
342738,1,0,0
907743,0,1,8
484733,0,3,8
981848,0,6,8
399575,0,7,8
852310,0,7,8
885007,0,6,8
692097,1,0,0
532813,0,6,8
425445,0,5,8
410460,1,3,3
508854,0,7,8
141233,0,6,8
277769,0,2,8
340479,0,6,8
980651,0,6,8
513708,0,5,8
796508,0,4,8
304770,0,6,8
993350,0,0,0
203258,1,0,0
654890,0,6,8
716393,0,7,8
751612,0,6,8
493427,0,7,8
908006,0,2,8
827288,0,1,8
204042,0,6,8
254683,0,6,8
824259,0,7,8
259634,1,4,5
730742,0,4,8
287593,0,3,8
481450,0,1,8
503598,0,5,8
825593,0,8,8
591608,0,5,8
800923,0,5,8
127128,0,5,8
518249,0,5,8
682308,0,5,8
974114,0,7,8
179719,0,5,8
780944,0,5,8
369458,0,5,8
202585,0,4,8
924719,0,5,8
345608,0,6,8
662268,0,5,8
526747,0,6,8
395121,0,4,8
331698,0,6,8
336539,0,7,8
351513,0,0,0
586542,0,8,8
792383,0,7,8
274264,0,5,8
460711,0,0,0
117408,0,7,8
498644,0,6,8
231273,0,6,8
329587,0,6,8
206992,0,6,8
421855,1,0,0
469684,0,5,8
763520,0,5,8
823112,0,8,8
768012,0,7,8
399418,0,6,8
734035,0,6,8
332983,0,2,7
894340,0,6,8
192096,0,1,8
787172,1,0,0
400702,0,5,8
416124,0,7,8
456752,0,1,8
466147,0,3,8
226176,1,0,0
837646,1,3,6
559279,0,6,8
733693,0,6,7
602900,0,5,8
543978,0,7,8
287212,0,3,8
660436,0,6,8
472726,0,0,0
887705,1,0,0
220358,0,5,8
590301,0,5,8
420464,0,0,0
640244,0,5,8
384920,0,5,8
573332,0,6,7
458320,0,3,8
101663,0,6,8
873458,0,6,8
141497,0,2,8
866815,0,1,8
439296,0,7,8
521311,0,6,8
709059,0,2,8
735605,0,2,8
235629,0,2,8
173212,0,6,8
476875,0,4,7
330464,0,6,8
743768,0,6,8
595325,0,6,8
881198,0,6,8
881584,0,3,8
748286,1,3,3
949175,0,6,8
437810,0,5,8
297869,0,5,8
182587,1,4,4
818391,1,2,8
272812,0,7,8
273357,0,6,8
302908,0,5,8
217616,0,2,8
905497,0,0,0
166577,0,7,8
820187,1,0,0
315851,0,6,8
469977,0,6,8
784570,0,4,8
465931,0,5,8
482256,0,6,8
733746,0,5,8
526064,0,3,8
655453,0,5,8
130326,0,5,8
845275,0,7,8
527944,1,0,0
757634,0,6,8
135808,0,6,8
418281,0,6,8
487536,1,0,0
508115,0,6,8
834522,0,0,0
842379,0,5,8
508443,1,0,0
613925,1,2,3
245066,0,3,8
821325,0,3,8
400478,1,2,4
436081,0,5,8
812282,0,7,8
431277,0,4,8
631821,0,4,8
282930,0,4,8
577405,0,7,8
753149,0,5,8
222960,0,6,7
232426,1,0,0
397248,0,6,8
785185,0,3,8
879600,1,0,0
418990,0,6,8
205465,0,2,8
382045,1,0,0
738141,0,4,8
751820,0,6,8
956191,0,5,8
359188,1,2,3
342958,0,3,8
776830,1,0,0
842236,0,6,8
444686,0,6,8
627107,1,1,1
950980,0,4,8
728748,0,4,8
746677,0,7,8
630396,0,7,8
833765,0,5,8
462077,0,5,8
376929,1,1,5
246775,0,3,8
471440,0,3,8
784945,0,6,8
438120,0,3,8
650290,1,3,4
755538,0,5,8
430712,1,2,7
724818,0,6,8
660030,0,8,8
102982,0,5,8
630880,0,3,8
803796,0,4,8
917972,0,5,8
906623,0,5,8
161373,1,2,4
241038,0,7,8
541898,0,5,8
235391,0,6,8
220131,0,4,8
293266,0,5,8
391357,1,3,5
328173,1,5,6
925850,0,2,8
165056,0,5,8
847359,0,6,8
596390,0,4,8
913981,0,8,8
727175,0,6,8
437197,0,6,8
879462,0,7,8
483747,1,3,3
993054,0,8,8
598258,1,0,0
941361,0,5,8
280603,0,7,8
445370,0,6,8
750710,0,5,8
746171,0,3,8
947641,0,4,8
971370,0,8,8
276746,0,6,8
819765,0,8,8
672170,0,6,8
990268,0,7,8
989256,0,5,8
384905,1,0,0
203864,0,5,8
221014,0,1,8
349342,0,6,8
963410,0,5,8
163445,0,2,8
901231,0,4,8
149981,1,0,0
727053,1,2,5
132319,0,5,8
629642,0,6,8
378181,0,5,8
188668,0,4,8
628169,0,8,8
290362,0,6,8
395189,1,0,0
786525,0,8,8
598398,0,4,8
113316,1,3,7
426351,0,5,8
423201,0,4,8
401036,0,6,8
896792,0,7,8
831948,0,4,8
794202,0,3,8
447962,0,7,8
871094,0,5,8
628258,0,8,8
782654,0,4,7
736813,0,1,8
686509,0,6,8
428249,0,5,8
483768,0,5,8
837237,0,5,7
170903,0,1,1
624929,0,7,8
323821,0,9,8
349539,0,4,8
508821,0,5,8
253609,0,5,8
742612,0,5,7
675535,0,6,8
797120,0,1,8
118632,0,7,8
711567,0,7,8
752704,0,6,8
343001,0,5,8
618100,0,3,8
335554,0,8,8
569603,0,7,8
672679,0,2,8
183020,0,6,8
937071,0,3,8
358900,0,5,8
765323,0,7,8
542976,0,3,8
827147,0,4,8
855026,0,7,8
817136,0,6,8
711577,0,5,8
250696,0,4,8
436247,0,3,8
763113,0,6,8
817191,0,5,8
861877,0,5,8
493358,0,4,8
853894,0,6,8
729094,0,6,8
256945,1,0,0
646038,0,5,8
981160,0,7,8
276494,0,6,8
644938,0,6,8
175967,0,5,8
749459,0,4,8
157729,0,3,8
216500,0,0,0
360435,0,4,8
393604,0,3,8
608241,0,5,8
638754,1,1,1
195368,0,6,8
877945,0,6,8
577535,0,7,8
572263,0,6,8
750739,0,4,8
392774,0,7,8
458202,0,6,8
506190,0,7,8
906564,1,1,3
841219,0,5,8
196779,0,5,8
596586,0,6,8
309230,0,7,8
831253,0,5,7
759132,1,0,0
258141,0,1,8
787525,0,8,8
612650,1,3,3
956861,0,6,7
343978,1,3,3
328576,0,7,8
637655,0,6,8
529106,0,6,8
584285,0,7,8
344749,0,1,8
495632,0,1,8
821515,0,1,8
503494,0,2,8
695250,0,6,8
535525,1,3,6
480732,0,5,7
989666,0,6,8
883574,0,5,8
623144,0,6,8
509108,0,2,7
377471,0,6,8
314941,0,6,8
804710,0,6,8
706185,1,0,0
380031,0,7,8
937163,0,7,8
280545,0,6,8
223354,0,6,8
591579,0,1,8
609184,0,5,8
661274,0,6,8
607548,0,5,7
901857,0,4,8
511642,0,8,8
670371,0,3,8
272123,0,0,0
957061,0,7,8
149549,0,6,8
372290,0,5,8
451839,0,2,8
334273,1,5,6
263763,0,4,8
324801,0,5,8
543478,0,3,8
553558,0,4,8
797391,0,0,0
576690,0,7,8
572062,1,0,0
556755,1,0,0
922665,1,0,0
308629,1,5,6
276990,0,6,8
912293,0,6,8
994676,0,7,8
527640,0,5,8
564141,1,5,7
908123,0,7,7
222453,0,6,8
580356,0,5,8
771713,0,5,7
604116,0,2,8
392989,0,2,8
430817,0,6,8
910157,0,3,8
405739,1,4,4
831180,0,6,8
144633,0,7,8
918564,0,5,8
347515,0,3,8
444931,0,8,8
347955,0,6,7
458074,0,7,8
734307,0,8,8
991568,0,7,8
174439,0,7,8
719192,0,6,8
757127,0,0,0
503096,0,0,0
915638,0,5,8
792514,0,7,8
187010,0,3,8
275387,1,2,8
186729,0,1,8
197855,0,1,8
202864,0,6,8
845273,0,6,8
930900,0,4,8
165022,0,2,8
447544,0,5,8
343994,0,8,8
330316,0,5,8
662723,0,0,0
685408,0,6,8
773598,0,4,8
374266,0,8,8
912757,0,7,8
175249,0,7,8
306068,0,7,8
233084,0,8,8
500374,0,4,8
471460,1,3,8
484495,0,7,8
595978,0,4,8
836603,0,1,8
227906,0,4,8
701954,0,4,8
846277,0,4,8
968034,0,9,8
549238,0,8,8
209172,0,5,8
346633,0,5,8
983872,0,1,8
143730,0,5,8
105688,0,7,8
235063,0,4,8
325082,0,5,8
393975,1,0,0
636745,1,1,1
587284,0,2,7
282542,0,6,8
153968,1,0,0
244676,0,4,8
749328,0,6,8
621750,0,5,8
524234,0,6,8
344121,0,6,8
451240,0,6,8
171027,1,0,0
370744,0,4,8
182130,0,4,8
154194,0,2,7
231047,0,4,8
391313,0,4,8
422358,0,7,8
612233,0,4,8
324295,0,5,8
957276,1,4,4
392430,0,5,8
343425,1,2,2
152423,0,5,8
962472,0,1,8
588516,0,7,8
793549,0,7,8
171137,0,4,8
189666,0,2,8
110142,1,4,8
441509,0,6,8
386446,0,1,8
955567,1,2,7
218362,0,4,8
137251,0,1,8
902634,0,1,8
304600,0,6,8
103352,1,0,0
237770,0,7,8
359091,0,7,8
645986,0,6,8
845947,1,3,7
851871,0,5,8
937976,0,1,8
905907,0,7,8
128475,0,4,8
958026,1,3,7
431201,0,2,8
665373,1,2,2
240299,1,0,0
802316,0,5,8
640833,0,7,8
317094,0,6,8
917725,0,7,8
953307,0,1,8
670289,1,2,7
707276,0,3,8
451819,0,5,8
761966,0,5,8
968370,0,8,8
472314,0,1,8
767385,0,6,8
576498,0,5,7
799992,0,6,8
225482,0,5,8
249381,0,7,8
319766,1,0,0
635531,0,6,8
164559,0,3,8
354150,0,4,8
543956,0,3,8
601131,0,6,8
306965,1,5,8
895972,0,6,8
195848,0,6,8
111912,0,7,8
686838,0,7,8
178331,0,6,8
198167,0,6,8
202859,0,4,8
319901,0,1,8
450802,0,1,8
714123,0,6,8
715514,0,3,8
536082,0,5,8
302669,0,3,8
476080,1,2,2
898423,0,6,8
391402,0,5,8
902040,0,6,8
688058,0,5,8
844582,0,6,8
468542,1,1,8
934912,0,3,8
177345,0,2,8
991356,0,6,8
981920,0,6,8
282896,0,6,8
169661,0,6,8
113919,0,5,8
738005,0,7,8
638528,1,0,0
866604,0,4,7
546665,0,5,8
701622,0,7,8
943236,0,2,8
423711,0,0,0
836405,0,5,8
690554,0,4,8
856229,0,3,8
197138,0,7,8
752462,0,6,8
172593,0,6,8
403185,0,5,8
585780,0,6,8
766355,0,2,8
748717,0,6,8
701732,0,1,8
349046,0,5,8
646502,0,4,8
678786,0,4,8
952859,1,0,0
159344,0,7,8
345657,0,7,8
614787,1,1,1
710003,0,0,0
499932,0,5,7
451446,0,6,8
626149,0,8,8
911655,0,6,8
408091,1,3,2
486359,0,6,8
666597,0,4,8
372961,1,2,2
373898,0,5,8
370405,0,1,2
697680,0,3,8
818484,0,5,8
351461,0,2,8
997322,0,1,8
457536,0,7,8
805890,0,5,8
679437,0,5,8
842980,0,3,8
303682,0,7,8
849178,0,6,8
873554,0,7,8
427329,0,5,8
224676,0,0,0
505680,0,5,8
510513,0,5,8
231530,0,5,8
178160,0,5,8
423096,0,6,8
593885,0,0,0
616835,0,6,8
171908,0,2,8
857946,0,5,8
848973,0,5,8
997359,0,4,8
550839,0,4,8
279408,0,6,8
126262,0,7,8
946932,0,3,8
136473,0,4,8
422750,0,6,8
633734,1,3,5
665763,0,0,0
745792,0,6,8
951616,0,5,8
161728,0,2,8
286883,0,6,8
693138,0,6,8
824414,0,4,8
773648,0,6,8
950252,0,1,8
484625,0,4,8
798375,0,7,8
489443,0,0,0
276673,0,5,8
733226,1,3,4
855153,1,1,1
162472,0,2,8
723186,0,5,8
835693,0,5,8
910093,0,1,8
947367,0,7,8
762715,0,4,8
351966,0,2,8
501209,0,5,8
390651,1,0,0
361237,0,8,8
528693,0,5,8
745600,1,4,5
613709,0,0,0
922703,0,1,8
156959,0,6,8
690971,0,3,8
837704,0,1,8
981508,0,4,8
607847,0,2,8
771056,0,6,8
881741,0,3,8
741313,0,6,8
717232,0,9,8
234973,0,6,8
254853,0,4,8
917423,0,6,8
630290,1,2,3
171902,1,2,5
415441,0,5,8
672893,0,5,8
226191,0,6,8
796627,0,3,8
958941,1,2,7
478792,0,5,8
675385,0,5,8
434620,0,3,8
833436,0,5,8
915927,1,0,0
173666,1,4,7
693659,0,6,8
607266,1,0,0
415292,1,0,0
668624,0,4,8
243294,1,3,8
471170,0,5,8
531514,0,6,8
667692,0,6,8
490824,0,5,8
238607,0,6,7
448896,0,5,8
657865,0,6,8
100428,0,5,8
272686,0,0,0
761444,1,0,0
598369,0,6,8
389996,1,3,3
833844,0,4,8
776795,0,6,8
173178,1,0,0
146215,0,7,8
747704,0,6,8
254428,0,3,8
951941,0,6,8
252450,0,6,8
561621,0,5,8
107649,0,7,8
425687,0,2,8
758113,0,7,8
229094,0,5,8
508824,0,6,8
121469,1,0,0
456839,0,5,8
912064,0,6,8
961177,0,3,8
171582,1,3,6
485845,0,5,8
273179,0,7,8
135016,0,5,8
582930,0,5,8
200663,0,2,8
266541,0,2,8
340782,0,4,8
904317,1,0,0
556453,0,4,8
583415,0,6,8
317664,0,4,8
216445,0,0,0
307785,0,6,8
525866,1,0,0
532333,0,6,8
155795,0,8,8
884089,0,6,8
285202,0,3,8
478566,1,1,1
892079,0,6,8
742356,0,0,0
971582,0,5,8
201115,0,7,8
717026,0,7,8
568953,0,5,8
968666,0,5,8
445008,1,0,0
123393,0,5,8
521217,0,5,8
311363,0,5,8
330988,0,4,8
696090,0,6,8
465260,0,7,8
989154,0,5,8
243726,1,0,0
403463,0,1,8
775176,0,5,8
983809,0,6,8
424403,0,5,8
283929,0,7,8
477867,1,0,0
996896,0,6,8
376367,0,2,8
892219,0,6,8
929880,0,6,8
390434,0,8,8
644551,0,7,8
300008,0,5,8
354002,0,5,8
389387,0,2,8
409768,0,1,8
515969,0,6,8
595027,0,5,7
642102,0,7,8
109023,0,5,8
